respondent_id,industry,region,exec_level,viz_tool,cynefin_domain,data_type,data_trust,data_quality_score,viz_clarity_score,decision_confidence,decision_speed_score,collaboration_score,cognitive_load_score,d3m_adoption_score,big_data_readiness,years_using_viz,pct_decisions_datadriven,monthly_data_gb,num_dashboards,viz_effective
R0199,Education,Pokhara,CEO,Excel Charts,Complex,Structured,High,10,8,10.0,9,1,1,9,9,1,80,15.5,0,1
R0200,Retail,Kathmandu,CEO,Excel Charts,Complicated,Structured,Medium,5,1,4.0,5,2,4,2,1,5,24,9.2,3,0
R0201,Banking,Kathmandu,CFO,Python/Matplotlib,Complex,Multi-structured,Low,7,6,6.0,6,9,5,10,10,13,73,84.6,22,1
R0202,Consulting,Kathmandu,COO,Excel Charts,Complex,Multi-structured,Medium,6,5,2.0,3,1,8,9,1,10,45,10.6,4,0
R0203,Retail,Kathmandu,CFO,Power BI,Simple,Semi-structured,Low,4,10,8.0,6,10,1,10,6,15,57,13.5,8,0
R0204,Retail,Kathmandu,CFO,Tableau,Complex,Structured,Medium,9,5,4.0,4,3,6,9,2,2,44,55.4,17,0
R0205,IT/Software,Lalitpur,COO,Power BI,Simple,Semi-structured,High,3,8,7.0,4,1,5,2,6,14,85,19.9,19,0
R0206,Retail,Biratnagar,CFO,Excel Charts,Complicated,Structured,Medium,7,5,7.0,1,7,10,3,2,9,70,6.3,27,0
R0207,Education,Lalitpur,Department Head,Excel Charts,Complex,Structured,Medium,10,3,6.0,4,5,7,3,7,9,59,42.1,4,0
R0208,IT/Software,Lalitpur,CFO,No Tool,Simple,Unstructured,High,4,9,9.0,10,9,10,2,6,16,66,3.6,27,0
R0209,Banking,Lalitpur,Department Head,Python/Matplotlib,Complex,Unstructured,High,1,6,4.0,4,4,3,3,10,1,7,64.6,8,0
R0210,Healthcare,Lalitpur,CFO,Power BI,Complicated,Unstructured,High,7,5,7.0,9,9,6,10,4,11,95,1.6,19,0
R0211,IT/Software,Pokhara,CEO,Power BI,Simple,Structured,High,5,10,2.0,5,2,2,4,10,11,60,15.0,27,0
R0212,Healthcare,Biratnagar,CEO,Excel Charts,Complex,Structured,Medium,6,3,8.0,6,1,2,7,3,2,34,63.9,27,0
R0213,IT/Software,Kathmandu,CEO,Tableau,Complex,Structured,Medium,4,5,,9,6,3,6,1,7,91,28.6,17,0
R0214,Education,Kathmandu,General Manager,Python/Matplotlib,Complicated,Semi-structured,Medium,9,4,6.0,3,8,2,5,5,14,56,131.6,28,0
R0215,RETAIL,Chitwan,CFO,Excel Charts,Complicated,Unstructured,Low,6,8,9.0,5,6,1,6,9,4,72,38.0,4,1
R0216,IT/Software,Chitwan,COO,Power BI,Complicated,Unstructured,Low,4,2,10.0,9,1,7,3,8,10,74,40.8,6,0
R0217,HEALTHCARE,Biratnagar,CFO,Power BI,Complex,Semi-structured,Low,6,3,8.0,7,10,1,2,9,1,67,77.1,1,0
R0218,Banking,Pokhara,CFO,Excel Charts,Chaotic,Structured,High,10,8,7.0,7,3,3,7,6,17,31,110.1,27,1
R0219,Retail,Pokhara,CFO,Power BI,Complex,Unstructured,High,9,3,6.0,6,7,6,5,6,16,83,3.0,10,0
R0220,IT/Software,Pokhara,CEO,Power BI,Simple,Semi-structured,High,5,2,3.0,4,1,4,3,4,5,86,85.2,26,0
R0221,Banking,Chitwan,CEO,Excel Charts,Simple,Multi-structured,High,10,6,1.0,8,1,4,8,5,1,28,58.0,24,0
R0222,Banking,Biratnagar,COO,Excel Charts,Complicated,Structured,Low,2,2,10.0,9,1,10,1,5,18,16,75.4,19,0
R0223,IT/Software,Lalitpur,CFO,Tableau,Complex,Structured,Medium,8,1,10.0,7,9,7,4,1,16,0,59.2,5,0
R0224,Healthcare,Biratnagar,CFO,Tableau,Simple,Unstructured,Medium,3,7,4.0,1,2,6,10,8,1,74,68.1,25,0
R0225,Banking,Biratnagar,CEO,Tableau,Complex,Structured,Medium,10,9,10.0,7,10,8,7,3,1,6,3.0,11,1
R0226,Retail,Kathmandu,Department Head,Excel Charts,Simple,Structured,Medium,5,9,4.0,2,4,8,4,4,11,15,54.9,18,0
R0227,Banking,Biratnagar,CFO,Power BI,Complicated,Semi-structured,High,8,1,1.0,6,2,8,1,9,6,52,9.8,21,0
R0228,Education,Kathmandu,CEO,Power BI,Complex,Semi-structured,Medium,1,4,6.0,5,9,1,7,4,18,3,68.7,2,0
R0229,Consulting,Lalitpur,CFO,Python/Matplotlib,Complex,Structured,High,5,10,7.0,9,10,9,8,3,14,27,10.6,18,0
R0230,Consulting,Kathmandu,Department Head,No Tool,Simple,Structured,Medium,5,9,1.0,1,5,10,2,9,7,60,22.0,29,0
R0231,Banking,Kathmandu,CFO,Tableau,Simple,Semi-structured,High,8,5,4.0,5,5,8,10,4,17,62,115.0,4,0
R0232,Healthcare,Kathmandu,CEO,Excel Charts,Complicated,Unstructured,Low,2,2,5.0,10,7,3,4,4,16,45,9999.0,27,0
R0233,Education,Kathmandu,COO,Python/Matplotlib,Complicated,Multi-structured,High,4,6,1.0,10,2,3,9,2,12,36,73.3,28,0
R0234,Retail,Biratnagar,General Manager,No Tool,Complicated,Structured,High,2,8,9.0,6,6,2,9,5,10,100,10.3,28,0
R0235,Banking,Chitwan,General Manager,Power BI,Complex,Structured,High,6,1,3.0,8,1,4,9,6,11,82,37.0,2,0
R0236,Banking,Chitwan,CFO,Tableau,Simple,Unstructured,Low,3,8,9.0,5,10,5,7,6,15,63,23.7,9,0
R0237,IT/Software,Pokhara,Department Head,Excel Charts,Complicated,Unstructured,Medium,9,7,3.0,10,9,1,2,4,12,45,12.8,11,0
R0238,Consulting,Lalitpur,CEO,Power BI,Complicated,Structured,Medium,7,9,3.0,3,1,4,7,10,2,16,3.2,20,0
R0239,IT/Software,Pokhara,General Manager,Python/Matplotlib,Complex,Structured,Medium,6,10,6.0,10,8,9,10,9,15,11,40.6,6,1
R0240,Education,Chitwan,Department Head,Power BI,Complex,Structured,Medium,8,3,6.0,4,4,4,1,3,17,6,85.7,6,0
R0241,Consulting,Pokhara,Department Head,Excel Charts,Simple,Structured,Low,1,5,1.0,1,5,5,10,8,7,55,9.9,23,0
R0242,Healthcare,Lalitpur,COO,Python/Matplotlib,Complex,Semi-structured,Medium,9,5,5.0,2,1,4,1,3,8,70,1.6,16,0
R0243,Consulting,Chitwan,CFO,No Tool,Complex,Structured,High,7,2,6.0,10,2,10,1,7,8,70,2.3,4,0
R0244,Retail,Kathmandu,CFO,Power BI,Complicated,Structured,Medium,1,3,7.0,3,5,4,1,4,3,100,31.1,1,0
R0245,IT/Software,Chitwan,CEO,Python/Matplotlib,Complex,Multi-structured,Medium,8,6,4.0,5,1,5,8,7,14,16,2.6,7,0
R0246,Banking,Pokhara,Department Head,Tableau,Simple,Semi-structured,Low,9,2,5.0,2,3,10,9,7,5,80,46.8,0,0
R0247,IT/Software,Kathmandu,General Manager,Power BI,Complex,Structured,High,10,8,3.0,8,10,10,2,7,19,69,33.4,1,0
R0248,Retail,Chitwan,CEO,No Tool,Complex,Unstructured,High,10,4,2.0,10,7,1,9,9,3,36,18.5,3,0
R0249,Retail,Kathmandu,CEO,Python/Matplotlib,Chaotic,Structured,Low,5,9,4.0,2,3,2,1,1,10,13,16.3,21,0
R0250,Banking,Kathmandu,CEO,No Tool,Simple,Structured,High,1,1,7.0,5,5,6,5,7,4,6,9999.0,20,0
R0251,Consulting,Pokhara,General Manager,Python/Matplotlib,Complex,Semi-structured,High,6,1,9.0,2,1,7,8,2,5,21,45.1,2,0
R0252,Education,Lalitpur,CEO,Tableau,Complicated,Unstructured,Medium,1,9,8.0,8,9,1,4,3,13,56,16.2,22,0
R0253,Healthcare,Chitwan,COO,No Tool,Complex,Multi-structured,Medium,2,6,6.0,3,9,7,10,4,14,7,4.9,10,0
R0254,Consulting,Chitwan,General Manager,Excel Charts,Complex,Structured,Medium,8,5,8.0,1,10,6,5,6,12,6,19.8,16,0
R0255,Banking,Pokhara,Department Head,Excel Charts,Complex,Structured,Medium,5,2,,7,7,2,10,2,12,98,20.4,13,0
R0256,Education,Biratnagar,General Manager,No Tool,Simple,Structured,Medium,9,9,8.0,7,6,6,7,2,19,92,5.8,13,1
R0257,Healthcare,Chitwan,CFO,Tableau,Chaotic,Structured,High,4,2,1.0,1,1,5,3,9,13,30,14.4,22,0
R0258,Retail,Pokhara,CFO,Excel Charts,Complicated,Structured,Medium,1,6,6.0,2,1,10,4,9,19,34,17.0,8,0
R0259,Banking,Biratnagar,Department Head,Excel Charts,Complex,Structured,Low,4,4,9.0,3,1,10,2,9,11,29,22.6,20,0
R0260,Healthcare,Kathmandu,Department Head,Power BI,Complicated,Structured,High,5,4,9.0,8,1,7,3,1,0,70,48.2,19,0
R0261,Education,Biratnagar,CFO,Power BI,Simple,Multi-structured,Medium,1,9,4.0,8,4,3,6,10,4,79,24.1,5,0
R0262,Education,Chitwan,CEO,Python/Matplotlib,Complicated,Multi-structured,Medium,5,6,4.0,5,9,6,8,6,19,65,33.8,6,0
R0263,IT/Software,Kathmandu,General Manager,Python/Matplotlib,Complex,Structured,High,3,10,9.0,1,3,10,9,6,9,5,12.0,25,0
R0264,Consulting,Biratnagar,General Manager,No Tool,Chaotic,Structured,Medium,4,2,5.0,10,2,2,3,5,8,52,63.2,29,0
R0265,Education,Pokhara,COO,Python/Matplotlib,Complicated,Unstructured,High,6,8,3.0,7,10,1,2,8,7,75,37.9,17,0
R0266,Healthcare,Biratnagar,CEO,No Tool,Complicated,Unstructured,High,4,8,4.0,4,10,7,4,9,13,2,45.0,0,0
R0267,Consulting,Pokhara,CFO,Power BI,Chaotic,Unstructured,Low,9,6,4.0,5,2,4,9,2,2,9,23.7,20,0
R0268,IT/Software,Kathmandu,CEO,Python/Matplotlib,Complex,Structured,High,3,3,9.0,1,6,6,2,8,18,8,3.0,7,0
R0269,Education,Kathmandu,CEO,No Tool,Complicated,Structured,Medium,9,8,,6,10,9,7,3,16,23,39.9,25,0
R0270,IT/Software,Biratnagar,COO,Excel Charts,Complex,Structured,Medium,7,6,10.0,5,3,5,9,5,15,97,33.2,26,1
R0271,Banking,Lalitpur,Department Head,Power BI,Complicated,Structured,Medium,9,8,1.0,2,8,1,6,5,7,84,67.1,23,0
R0272,Healthcare,Chitwan,COO,No Tool,Complicated,Semi-structured,Medium,3,4,7.0,3,7,10,6,9,4,20,35.4,29,0
R0273,Retail,Lalitpur,Department Head,Excel Charts,Complicated,Semi-structured,High,4,6,3.0,8,3,4,3,8,11,99,81.4,4,0
R0274,Retail,Chitwan,Department Head,Tableau,Complicated,Structured,Low,10,9,7.0,3,5,6,10,5,12,40,37.4,2,1
R0275,Banking,Kathmandu,CFO,Tableau,Simple,Unstructured,Medium,3,7,6.0,2,2,1,4,9,11,33,9999.0,23,0
R0276,IT/Software,Chitwan,Department Head,No Tool,Complicated,Semi-structured,Medium,10,4,6.0,3,1,6,3,3,12,48,135.0,16,0
R0277,Education,Kathmandu,General Manager,Tableau,Complex,Structured,Low,1,5,1.0,2,8,10,9,9,6,76,44.9,15,0
R0278,Healthcare,Lalitpur,CEO,No Tool,Complex,Structured,Low,8,9,1.0,4,8,4,8,2,4,100,15.7,7,0
R0279,Banking,Lalitpur,General Manager,Tableau,Complicated,Structured,High,5,4,3.0,2,1,2,7,2,4,36,12.8,12,0
R0280,IT/Software,Kathmandu,Department Head,Python/Matplotlib,Complex,Semi-structured,Medium,1,7,6.0,5,7,1,6,10,0,64,116.8,18,0
R0281,Healthcare,Chitwan,COO,No Tool,Simple,Structured,Medium,6,8,7.0,7,8,3,2,7,13,23,125.7,9,1
R0282,Banking,Pokhara,COO,Tableau,Complex,Multi-structured,Medium,1,10,2.0,3,2,5,1,8,9,37,67.7,10,0
R0283,Consulting,Chitwan,COO,Python/Matplotlib,Complex,Semi-structured,Medium,5,10,8.0,2,6,7,2,10,8,90,16.6,17,0
R0284,Retail,Biratnagar,CEO,Power BI,Simple,Structured,Low,1,2,8.0,5,10,6,7,8,5,37,32.5,9,0
R0285,IT/Software,Kathmandu,Department Head,Python/Matplotlib,Complex,Unstructured,Medium,7,1,,6,9,2,1,5,17,1,96.4,13,0
R0286,IT/Software,Pokhara,CFO,Python/Matplotlib,Complex,Semi-structured,Medium,8,4,7.0,5,7,2,9,6,11,23,22.9,17,0
R0287,IT/Software,Kathmandu,CFO,Tableau,Complicated,Structured,Medium,5,5,8.0,4,1,2,6,2,19,10,9999.0,6,0
R0288,IT/Software,Lalitpur,COO,Tableau,Complicated,Semi-structured,Low,5,1,10.0,5,4,4,1,9,6,85,14.9,6,0
R0289,Education,Lalitpur,General Manager,Python/Matplotlib,Complex,Unstructured,High,1,10,,4,10,4,9,2,13,59,5.9,22,0
R0290,Healthcare,Kathmandu,COO,Power BI,Complicated,Structured,Low,8,2,4.0,2,5,2,10,4,5,32,29.2,24,0
R0291,Retail,Lalitpur,General Manager,Tableau,Simple,Semi-structured,Low,9,8,1.0,5,6,10,3,9,15,59,48.0,3,0
R0292,Banking,Kathmandu,CEO,Excel Charts,Complicated,Structured,High,4,9,9.0,7,3,4,10,3,6,1,23.7,11,0
R0293,Consulting,Chitwan,CFO,Python/Matplotlib,Complex,Structured,High,3,7,7.0,9,2,8,2,10,7,8,9.2,6,0
R0294,Retail,Biratnagar,CEO,Tableau,Complex,Structured,Medium,9,8,6.0,5,3,7,9,10,8,38,1.1,28,1
R0295,Healthcare,Pokhara,General Manager,Excel Charts,Complicated,Multi-structured,High,5,1,6.0,4,9,1,3,4,12,9,112.0,13,0
R0296,Retail,Chitwan,COO,Power BI,Chaotic,Structured,Medium,3,3,1.0,10,2,3,8,8,19,81,33.2,15,0
R0297,Consulting,Lalitpur,Department Head,Tableau,Complicated,Structured,Medium,4,10,8.0,5,10,1,5,4,8,22,12.1,3,0
R0298,Consulting,Biratnagar,Department Head,No Tool,Simple,Semi-structured,Low,5,10,3.0,3,10,4,3,4,18,87,16.3,21,0
R0299,Consulting,Chitwan,CFO,No Tool,Complex,Unstructured,Medium,6,8,8.0,4,10,5,2,1,13,67,73.3,2,1
R0300,Consulting,Kathmandu,Department Head,Python/Matplotlib,Simple,Multi-structured,High,4,8,1.0,7,6,6,3,10,6,21,72.1,7,0
R0301,Banking,Pokhara,CEO,No Tool,Complex,Semi-structured,Low,9,8,4.0,7,7,5,10,9,5,69,7.8,8,0
R0302,Retail,Kathmandu,Department Head,Excel Charts,Complex,Structured,Low,4,2,1.0,3,4,2,6,3,3,25,44.9,8,0
R0303,IT/Software,Kathmandu,COO,Power BI,Simple,Structured,High,8,3,9.0,2,4,10,9,5,19,71,9.5,17,0
R0304,Consulting,Chitwan,Department Head,No Tool,Complicated,Unstructured,Medium,3,2,2.0,7,9,6,2,5,6,40,22.8,3,0
R0305,Retail,Biratnagar,CFO,Power BI,Complex,Structured,Low,4,4,5.0,4,2,2,5,8,14,12,25.7,11,0
R0306,IT/Software,Pokhara,CEO,Python/Matplotlib,Complicated,Structured,Medium,6,5,7.0,7,3,3,3,9,19,97,23.4,6,0
R0307,Banking,Chitwan,COO,No Tool,Complex,Multi-structured,High,7,5,7.0,1,5,4,3,5,4,54,22.1,18,0
R0308,Consulting,Kathmandu,Department Head,Python/Matplotlib,Complex,Unstructured,Medium,9,4,7.0,7,2,5,4,2,13,50,102.3,11,0
R0309,Education,Pokhara,CEO,Python/Matplotlib,Simple,Unstructured,High,9,10,9.0,3,1,7,9,10,18,79,22.1,24,1
R0310,Education,Lalitpur,CFO,Power BI,Complex,Structured,Medium,6,7,5.0,1,10,6,10,5,0,22,9999.0,11,0
R0311,BANKING,Pokhara,General Manager,Tableau,Complex,Unstructured,Low,5,9,9.0,1,7,4,4,1,16,90,29.5,8,0
R0312,IT/Software,Biratnagar,General Manager,Power BI,Complicated,Structured,Medium,3,5,5.0,4,6,2,1,7,14,9,48.8,14,0
R0313,Consulting,Kathmandu,CFO,Power BI,Complex,Structured,Medium,6,2,1.0,1,9,9,3,4,9,35,57.7,3,0
R0314,Banking,Chitwan,CFO,Excel Charts,Complicated,Structured,Low,8,4,3.0,7,1,4,2,6,4,1,55.8,6,0
R0315,Consulting,Chitwan,General Manager,Python/Matplotlib,Complicated,Structured,High,6,6,7.0,10,5,5,7,2,0,84,20.0,26,1
R0316,Healthcare,Biratnagar,COO,Python/Matplotlib,Complicated,Unstructured,High,10,3,7.0,8,2,1,10,8,17,0,24.5,1,0
R0317,IT/Software,Pokhara,COO,Power BI,Complex,Unstructured,High,10,2,,7,6,10,2,2,1,15,2.9,25,0
R0318,Retail,Lalitpur,CEO,Excel Charts,Simple,Semi-structured,High,8,5,7.0,3,6,4,10,6,18,82,53.1,3,0
R0319,Consulting,Biratnagar,CEO,Python/Matplotlib,Complex,Semi-structured,Medium,5,4,4.0,3,8,2,6,5,4,99,8.2,13,0
R0320,Healthcare,Kathmandu,CEO,Excel Charts,Simple,Structured,Low,7,7,10.0,1,2,5,9,9,4,48,14.3,0,1
R0321,Healthcare,Lalitpur,COO,Tableau,Complicated,Structured,High,2,3,5.0,1,9,4,4,7,8,50,0.6,28,0
R0322,Education,Kathmandu,COO,Python/Matplotlib,Complex,Structured,High,2,6,7.0,4,3,1,7,1,2,72,72.3,21,0
R0323,IT/Software,Lalitpur,General Manager,No Tool,Complicated,Unstructured,Medium,1,3,4.0,7,5,5,2,10,17,28,0.5,6,0
R0324,Banking,Biratnagar,General Manager,Excel Charts,Complex,Semi-structured,Medium,8,8,4.0,8,4,2,4,1,17,20,50.4,19,0
R0325,Education,Lalitpur,COO,Python/Matplotlib,Complicated,Structured,High,6,2,9.0,7,8,2,8,1,0,22,13.8,3,0
R0326,Consulting,Biratnagar,Department Head,Power BI,Chaotic,Structured,Medium,3,4,9.0,1,5,2,2,4,5,58,115.5,18,0
R0327,IT/Software,Kathmandu,CEO,Power BI,Chaotic,Structured,Low,2,1,2.0,5,2,4,3,7,3,65,61.5,0,0
R0328,Banking,Kathmandu,Department Head,No Tool,Complicated,Structured,Medium,1,5,9.0,5,7,4,9,5,7,24,5.9,17,0
R0329,IT/Software,Chitwan,COO,Excel Charts,Chaotic,Structured,High,10,7,4.0,4,3,1,8,7,8,20,51.6,21,0
R0330,Healthcare,Biratnagar,COO,Excel Charts,Chaotic,Structured,High,3,4,4.0,3,7,2,6,8,19,44,24.8,9,0
R0331,Consulting,Chitwan,CEO,Power BI,Complicated,Unstructured,Low,4,9,3.0,5,7,1,3,10,7,43,40.9,8,0
R0332,Retail,Chitwan,Department Head,No Tool,Complicated,Structured,Low,5,4,4.0,6,3,6,3,10,19,79,20.3,14,0
R0333,Education,Lalitpur,CFO,Tableau,Simple,Structured,Medium,6,3,9.0,10,6,10,4,6,12,93,15.7,12,0
R0334,Education,Pokhara,Department Head,Excel Charts,Complicated,Unstructured,Medium,3,7,2.0,4,8,9,2,1,7,84,109.7,25,0
R0335,IT/Software,Lalitpur,General Manager,Tableau,Complex,Semi-structured,Low,8,9,3.0,4,7,2,10,10,19,39,23.9,22,0
R0336,Banking,Pokhara,Department Head,Excel Charts,Complex,Semi-structured,Low,1,6,2.0,7,7,9,10,1,3,81,14.5,27,0
R0337,Consulting,Kathmandu,CEO,Power BI,Complicated,Unstructured,High,6,9,5.0,2,10,1,1,1,13,30,2.2,0,0
R0338,Education,Chitwan,CEO,No Tool,Simple,Unstructured,Medium,1,5,4.0,7,3,5,3,10,18,42,7.4,9,0
R0339,Consulting,Kathmandu,CFO,Power BI,Complex,Structured,Low,3,8,3.0,4,1,6,3,2,7,12,43.1,27,0
R0340,Consulting,Kathmandu,General Manager,Power BI,Chaotic,Semi-structured,High,3,1,9.0,3,2,5,6,1,3,84,22.1,15,0
R0341,Consulting,Chitwan,CFO,Tableau,Complicated,Structured,Medium,7,5,2.0,10,1,6,1,3,9,89,30.4,8,0
R0342,Education,Kathmandu,COO,Excel Charts,Complex,Structured,High,5,3,8.0,1,8,4,9,2,8,58,34.2,18,0
R0343,Consulting,Lalitpur,COO,Excel Charts,Complicated,Structured,High,8,6,1.0,1,6,3,9,4,12,12,4.5,7,0
R0344,Retail,Biratnagar,COO,Python/Matplotlib,Complex,Structured,Low,10,8,2.0,5,8,7,2,10,9,47,34.8,8,0
R0345,Education,Chitwan,CEO,Tableau,Complex,Unstructured,Medium,4,10,2.0,3,8,3,4,5,14,19,6.3,0,0
R0346,Healthcare,Chitwan,COO,Excel Charts,Chaotic,Structured,Medium,3,8,7.0,8,9,7,7,6,9,23,52.1,3,0
R0347,Healthcare,Lalitpur,CFO,No Tool,Simple,Structured,Medium,7,3,4.0,3,6,6,10,6,13,84,28.6,14,0
R0348,Banking,Lalitpur,CFO,Power BI,Complex,Structured,Low,6,2,1.0,10,7,1,5,1,1,90,66.2,2,0
R0349,IT/Software,Pokhara,General Manager,Excel Charts,Complicated,Unstructured,High,8,2,6.0,4,6,2,10,4,15,11,6.4,8,0
R0350,Retail,Biratnagar,CEO,Python/Matplotlib,Complicated,Semi-structured,High,1,2,7.0,8,3,1,10,5,1,20,23.6,28,0
R0351,Retail,Kathmandu,CEO,No Tool,Complicated,Semi-structured,Medium,8,1,3.0,9,5,6,7,4,15,91,8.2,1,0
R0352,Education,Pokhara,Department Head,Python/Matplotlib,Chaotic,Semi-structured,Medium,3,9,3.0,4,5,8,2,8,1,83,37.4,23,0
R0353,Education,Pokhara,COO,Excel Charts,Complicated,Structured,High,6,7,6.0,7,6,1,2,10,7,20,3.0,14,1
R0354,Healthcare,Lalitpur,Department Head,Excel Charts,Complex,Unstructured,High,3,6,4.0,4,5,8,6,7,15,14,20.9,4,0
R0355,Retail,Lalitpur,CEO,Power BI,Simple,Structured,Medium,10,8,8.0,10,2,5,4,7,5,52,28.9,10,1
R0356,Banking,Lalitpur,CFO,Tableau,Chaotic,Structured,Medium,8,2,1.0,1,9,1,9,8,0,33,255.8,13,0
R0357,Banking,Biratnagar,CFO,Power BI,Complex,Structured,Medium,1,3,2.0,5,9,1,4,1,8,25,19.2,7,0
R0358,Consulting,Kathmandu,General Manager,Python/Matplotlib,Complex,Multi-structured,High,9,6,3.0,6,4,10,3,3,2,2,29.6,20,0
R0359,Banking,Kathmandu,CEO,Python/Matplotlib,Complex,Unstructured,High,6,1,1.0,8,2,2,1,10,12,68,6.6,23,0
R0360,IT/Software,Biratnagar,CFO,Power BI,Complicated,Semi-structured,High,4,1,9.0,1,8,6,9,1,13,7,9.1,14,0
R0361,Healthcare,Lalitpur,General Manager,Excel Charts,Complicated,Semi-structured,High,2,1,5.0,7,10,7,2,7,11,0,11.9,8,0
R0362,Retail,Pokhara,COO,Python/Matplotlib,Complex,Semi-structured,High,7,9,2.0,5,4,1,9,6,12,35,109.1,12,0
R0363,Education,Pokhara,Department Head,Excel Charts,Complex,Structured,Medium,3,1,9.0,9,5,10,4,10,18,64,125.3,26,0
R0364,IT/Software,Chitwan,COO,No Tool,Complex,Structured,High,3,3,3.0,2,9,3,3,4,13,69,52.0,22,0
R0365,Banking,Pokhara,Department Head,Python/Matplotlib,Complicated,Semi-structured,Low,1,2,1.0,7,8,1,3,8,1,80,112.7,2,0
R0366,Retail,Chitwan,CFO,No Tool,Complex,Semi-structured,High,6,8,10.0,9,6,2,4,10,12,78,81.5,10,1
R0367,Healthcare,Chitwan,General Manager,Excel Charts,Complicated,Unstructured,Low,7,3,9.0,5,7,3,8,5,18,9,9999.0,19,0
R0368,Education,Chitwan,COO,Tableau,Simple,Semi-structured,Low,3,6,3.0,9,5,1,10,9,10,15,1.6,23,0
R0369,Healthcare,Lalitpur,COO,Python/Matplotlib,Simple,Unstructured,Medium,9,2,4.0,8,1,4,10,4,19,99,21.8,1,0
R0370,Consulting,Biratnagar,CFO,Python/Matplotlib,Complicated,Semi-structured,Medium,4,2,6.0,8,5,3,6,10,13,18,20.5,15,0
R0371,Consulting,Lalitpur,General Manager,No Tool,Chaotic,Structured,Medium,7,10,7.0,10,6,1,4,7,3,4,81.0,21,1
R0372,Banking,Lalitpur,Department Head,No Tool,Complex,Structured,Low,7,9,3.0,8,5,5,9,4,10,79,24.3,7,0
R0373,Healthcare,Pokhara,General Manager,Power BI,Complex,Multi-structured,High,5,2,3.0,4,1,1,2,6,5,12,130.6,7,0
R0374,Education,Lalitpur,CEO,Power BI,Complicated,Multi-structured,Medium,3,3,3.0,1,3,2,1,9,13,35,14.3,7,0
R0375,Education,Kathmandu,COO,Excel Charts,Complicated,Unstructured,High,7,10,8.0,2,6,1,4,10,15,15,32.0,7,1
R0376,Education,Pokhara,CFO,Python/Matplotlib,Complicated,Semi-structured,High,5,8,3.0,1,8,6,6,10,12,66,39.8,15,0
R0377,Retail,Pokhara,CFO,Excel Charts,Complex,Structured,Low,10,1,5.0,4,1,7,7,8,16,34,32.5,4,0
R0378,IT/Software,Chitwan,CFO,Power BI,Simple,Structured,Medium,9,9,1.0,9,2,4,10,4,2,92,15.9,28,0
R0379,Retail,Biratnagar,CEO,No Tool,Complex,Multi-structured,High,5,6,7.0,10,3,1,1,4,1,48,0.6,3,0
R0380,Banking,Pokhara,General Manager,Tableau,Complicated,Structured,Medium,4,9,10.0,2,6,5,1,9,14,33,27.7,21,0
R0381,Retail,Kathmandu,COO,Excel Charts,Complex,Structured,Medium,4,3,10.0,7,8,6,1,2,9,30,158.3,1,0
R0382,IT/Software,Pokhara,COO,Python/Matplotlib,Complex,Unstructured,Medium,3,2,5.0,9,9,8,7,9,6,4,2.6,9,0
R0383,Healthcare,Chitwan,CEO,Tableau,Simple,Structured,Low,6,9,4.0,4,10,3,10,4,13,8,71.3,15,0
R0384,Banking,Biratnagar,CEO,Excel Charts,Complicated,Unstructured,Medium,4,1,,2,8,8,1,5,16,28,22.5,7,0
R0385,Retail,Kathmandu,CFO,Excel Charts,Complex,Structured,Low,6,5,8.0,1,7,2,9,1,14,98,90.5,3,0
R0386,Banking,Kathmandu,General Manager,No Tool,Complex,Unstructured,High,10,7,5.0,1,3,5,4,8,3,97,28.3,12,0
R0387,Retail,Biratnagar,CEO,No Tool,Complex,Unstructured,Medium,9,4,10.0,3,1,6,5,6,18,8,90.8,19,0
R0388,Consulting,Pokhara,General Manager,Python/Matplotlib,Complex,Structured,Low,5,3,1.0,6,6,4,9,6,3,36,39.7,13,0
R0389,Retail,Kathmandu,COO,Excel Charts,Complicated,Structured,High,8,3,1.0,5,9,1,9,10,14,93,11.4,14,0
R0390,IT/Software,Pokhara,COO,Python/Matplotlib,Complicated,Structured,Medium,9,7,4.0,5,7,5,3,6,14,40,1.4,2,0
R0391,Education,Kathmandu,COO,No Tool,Complex,Semi-structured,Medium,3,2,7.0,6,1,3,1,5,2,55,44.3,22,0
R0392,Healthcare,Kathmandu,Department Head,No Tool,Simple,Multi-structured,Medium,10,1,10.0,7,1,6,1,2,8,80,31.4,24,0
R0393,IT/Software,Chitwan,CFO,No Tool,Complex,Semi-structured,High,7,10,4.0,2,8,6,6,4,19,31,127.7,27,0
R0394,CONSULTING,Chitwan,CEO,Python/Matplotlib,Complex,Structured,Low,2,3,6.0,5,10,3,10,1,6,76,5.2,11,0
R0395,IT/Software,Chitwan,CFO,Power BI,Complicated,Structured,Medium,9,8,3.0,10,7,6,10,8,10,42,10.0,0,0
R0396,Consulting,Lalitpur,CEO,Tableau,Simple,Structured,Low,2,7,10.0,7,6,7,4,7,19,89,13.4,21,0
R0397,Healthcare,Lalitpur,Department Head,Tableau,Complex,Semi-structured,High,9,5,9.0,5,3,10,1,6,4,46,40.0,4,0
R0398,Healthcare,Biratnagar,Department Head,Power BI,Complex,Structured,Medium,10,7,9.0,2,1,10,5,6,3,64,26.8,19,1
R0399,Healthcare,Lalitpur,Department Head,Tableau,Complicated,Unstructured,High,3,2,10.0,5,8,9,5,6,8,49,10.2,18,0
